onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
1194.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1194.002953125	611329	611329.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1199.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1199.002953125	613889	613889.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1204.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1204.002953125	616449	616449.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1209.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1209.002953125	619009	619009.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1214.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1214.002953125	621569	621569.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1219.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1219.002953125	624129	624129.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1264.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1264.2275625	647284	647284.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1269.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1269.2275625	649844	649844.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1274.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1274.2275625	652404	652404.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1279.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1279.2275625	654964	654964.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1284.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1284.2275625	657524	657524.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1289.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1289.2275625	660084	660084.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1294.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1294.2275625	662644	662644.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1299.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1299.2275625	665204	665204.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1304.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1304.2275625	667764	667764.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
1309.2265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1309.2275625	670324	670324.512	monophasic	OT3-OT4	0.007	0.2	0.001	n/a
